Coding System,CVX Code,NZVX Code,GP Code,CVX Short Description,vaccine status,VG_Name,Sequence RXA-2,Indication RXA-19 ,Uncertain formulation CVX,ScheduleCode,Name,Simple Description,Detailed Description,Common Responses,Rare Responses,More Information,,,,
CVX,24,,,anthrax,Active,ANTHRAX,,,24,,,,,,,https://www.immune.org.nz/vaccines/available-vaccines,,,,
CVX,19,,,BCG,Active,BCG,,,19,BCG,Tuberculosis,Protects against severe tuberculosis.,"BCG Vaccine SSI is a vaccine which provides active immunisation against
tuberculosis. Tuberculosis (TB) is a disease caused by infection with the bacteria
(germ) Mycobacterium Tuberculosis. TB can damage a person’s lungs or other parts
of the body and cause serious illness.
BCG Vaccine SSI is a dried powder containing bacteria which are very similar to the
organisms which cause tuberculosis. The bacteria in the medicine has been altered
so that they produce only a mild localised infection but at the same time cause your
body to build up resistance to tuberculosis.
Your doctor may have prescribed BCG Vaccine SSI for another reason. Ask your
doctor or nurse if you have any questions about why BCG VACCINE SSI has been
prescribed for you.","Swollen glands and tiredness
Small blister or ulcer at the injection site that may take up to 3 months to heal
Scar at the injection site","Bone inflammation
Abscess
Disseminated BCG disease, can be fatal when the BCG is given to a person with a weakened immune system
As with any medicine, very rarely a severe allergic reaction (anaphylaxis) can occur following immunisation.",https://www.immune.org.nz/vaccines/available-vaccines/bcg-vaccine-ssi,,,,
GP Codes,,,BCG,BCG,,,,,,BCG,Tuberculosis,Protects against severe tuberculosis.,"BCG Vaccine SSI is a vaccine which provides active immunisation against
tuberculosis. Tuberculosis (TB) is a disease caused by infection with the bacteria
(germ) Mycobacterium Tuberculosis. TB can damage a person’s lungs or other parts
of the body and cause serious illness.
BCG Vaccine SSI is a dried powder containing bacteria which are very similar to the
organisms which cause tuberculosis. The bacteria in the medicine has been altered
so that they produce only a mild localised infection but at the same time cause your
body to build up resistance to tuberculosis.
Your doctor may have prescribed BCG Vaccine SSI for another reason. Ask your
doctor or nurse if you have any questions about why BCG VACCINE SSI has been
prescribed for you.","Swollen glands and tiredness
Small blister or ulcer at the injection site that may take up to 3 months to heal
Scar at the injection site","Bone inflammation
Abscess
Disseminated BCG disease, can be fatal when the BCG is given to a person with a weakened immune system
As with any medicine, very rarely a severe allergic reaction (anaphylaxis) can occur following immunisation.",https://www.immune.org.nz/vaccines/available-vaccines/bcg-vaccine-ssi,,,,
GP Codes,,,Boostrix,Boostrix,,,,,,DTaP,"Diphtheria, Tetanus & Acellular Pertussis","Protects against Diphtheria, Tetanus, Acellular Pertussis","BOOSTRIX is a vaccine used for booster vaccination against diphtheria, tetanus and pertussis
(whooping cough). The vaccine is sometimes called dTpa vaccine.
BOOSTRIX is intended for use in children aged 4 years and older and
adults.
Diphtheria, pertussis and tetanus are three life-threatening diseases caused by bacterial infection.
The vaccine works by causing the body to produce its own protection (antibodies) against the
disease.
Diphtheria
Diphtheria is a bacterium that lives in the airways of humans and can also affect the skin.
Generally, the airways become inflamed (swollen) causing severe breathing difficulties and
sometimes suffocation. The bacteria release a toxin (poison) which can cause nerve damage,
heart problems and death. The risk of serious complications and death is greater in the very young
and elderly.
Tetanus (Lockjaw)
Tetanus bacteria enter the body through wounded skin. Wounds that are especially prone to
infection are burn wounds, fractures, deep wounds or wounds contaminated with soil, dust, horse
manure or wood splinters. The bacteria release toxins, which can cause muscle stiffness, painful
spasms, fits and death. The spasm can be strong enough to cause bone fractures of the spine.
Pertussis (Whooping cough)
Pertussis is highly infectious. It affects the breathing tract causing severe spells of coughing
that may interfere with normal breathing. The coughing is often accompanied by a “whooping”
sound. The cough may last for 1-2 months or longer. Pertussis can also cause inner ear infections,
long lasting bronchitis, pneumonia, fits, brain damage and death. The risk of severe complications
and death is greatest in infants under 6 months of age.
Vaccination is the best way of protecting against these diseases. BOOSTRIX vaccine cannot give
you or your child diphtheria, tetanus or pertussis infection. The vaccine will not protect against
diseases caused by other types of bacteria or organisms.","Pain and swelling around the injection site may prevent normal everyday activities for 24–48 hours
Headache or nausea
Muscle or joint stiffness or pain","Hives
Sterile abscess at the injection site
As with any medicine, very rarely a severe allergic reaction (anaphylaxis) can occur following immunisation.",https://www.immune.org.nz/vaccines/available-vaccines/boostrix,,,,
GP Codes,ConsegnaTest,,Ceftriaxone,Ceftriaxone,,,,,,,,,,,,,,,,
CVX,173,,,"cholera, BivWC",Non-US,cholera,,,26,,,,,,,https://www.immune.org.nz/vaccines/available-vaccines,,,,
CVX,174,,,"cholera, live attenuated",Active,cholera,,,26,,,,,,,https://www.immune.org.nz/vaccines/available-vaccines,,,,
CVX,26,,,"cholera, unspecified formulation",Inactive,cholera,,,26,,,,,,,https://www.immune.org.nz/vaccines/available-vaccines,,,,
CVX,172,,,"cholera, WC-rBS",Non-US,cholera,,,26,,,,,,,https://www.immune.org.nz/vaccines/available-vaccines,,,,
CVX,56,,,dengue fever,Active,DENGUE,,,56,,,,,,,https://www.immune.org.nz/vaccines/available-vaccines,,,,
GP Codes,,,Depo provera,Depo provera,,,,,,,,,,,,,,,,
GP Codes,,,Depo provera inj,Depo provera inj,,,,,,,,,,,,,,,,
GP Codes,ConsegnaTest,,Depo-provera inj,Depo-provera inj,,,,,,,,,,,,,,,,
GP Codes,,,Dip-Tet Adult (misc),Dip-Tet Adult (misc),,,,,,,Tetanus and Diphtheria,Protects against Tetanus and Diphtheria.,,,,https://www.immune.org.nz/vaccines/available-vaccines,,,,
GP Codes,ConsegnaTest,,Dip-Tet Adult (misc),Dip-Tet Adult (misc),,,,,,,Tetanus and Diphtheria,Protects against Tetanus and Diphtheria.,,,,https://www.immune.org.nz/vaccines/available-vaccines,,,,
GP Codes,ConsegnaTest,,Dip-Tet Adult 1st,Dip-Tet Adult 1st,,,,,,,Tetanus and Diphtheria,Protects against Tetanus and Diphtheria.,,,,https://www.immune.org.nz/vaccines/available-vaccines,,,,
GP Codes,ConsegnaTest,,Dip-Tet Adult 2nd,Dip-Tet Adult 2nd,,,,,,,Tetanus and Diphtheria,Protects against Tetanus and Diphtheria.,,,,https://www.immune.org.nz/vaccines/available-vaccines,,,,
GP Codes,ConsegnaTest,,Dip-Tet Adult 3rd,Dip-Tet Adult 3rd,,,,,,,Tetanus and Diphtheria,Protects against Tetanus and Diphtheria.,,,,https://www.immune.org.nz/vaccines/available-vaccines,,,,
GP Codes,ConsegnaTest,,Dip-Tet Adult 4th,Dip-Tet Adult 4th,,,,,,,Tetanus and Diphtheria,Protects against Tetanus and Diphtheria.,,,,https://www.immune.org.nz/vaccines/available-vaccines,,,,
GP Codes,,,Dip-Tet Adult Wound,Dip-Tet Adult Wound,,,,,,,Tetanus and Diphtheria,Protects against Tetanus and Diphtheria.,,,,https://www.immune.org.nz/vaccines/available-vaccines,,,,
GP Codes,ConsegnaTest,,Dip-Tet Adult Wound,Dip-Tet Adult Wound,,,,,,,Tetanus and Diphtheria,Protects against Tetanus and Diphtheria.,,,,https://www.immune.org.nz/vaccines/available-vaccines,,,,
CVX,28,,,DT (pediatric),Active,DTAP,,,107,,,,,,,https://www.immune.org.nz/vaccines/available-vaccines,,,,
CVX,195,,,"DT, IPV adsorbed",Non-US,POLIO,,,89,,,,,,,https://www.immune.org.nz/vaccines/available-vaccines,,,,
CVX,195,,,"DT, IPV adsorbed",Non-US,Td,,,139,,,,,,,https://www.immune.org.nz/vaccines/available-vaccines,,,,
CVX,20,,,DTaP,Active,DTAP,,,107,,"Diphtheria, Tetanus & Acellular Pertussis","Protects against Diphtheria, Tetanus, Acellular Pertussis","BOOSTRIX is a vaccine used for booster vaccination against diphtheria, tetanus and pertussis
(whooping cough). The vaccine is sometimes called dTpa vaccine.
BOOSTRIX is intended for use in children aged 4 years and older and
adults.
Diphtheria, pertussis and tetanus are three life-threatening diseases caused by bacterial infection.
The vaccine works by causing the body to produce its own protection (antibodies) against the
disease.
Diphtheria
Diphtheria is a bacterium that lives in the airways of humans and can also affect the skin.
Generally, the airways become inflamed (swollen) causing severe breathing difficulties and
sometimes suffocation. The bacteria release a toxin (poison) which can cause nerve damage,
heart problems and death. The risk of serious complications and death is greater in the very young
and elderly.
Tetanus (Lockjaw)
Tetanus bacteria enter the body through wounded skin. Wounds that are especially prone to
infection are burn wounds, fractures, deep wounds or wounds contaminated with soil, dust, horse
manure or wood splinters. The bacteria release toxins, which can cause muscle stiffness, painful
spasms, fits and death. The spasm can be strong enough to cause bone fractures of the spine.
Pertussis (Whooping cough)
Pertussis is highly infectious. It affects the breathing tract causing severe spells of coughing
that may interfere with normal breathing. The coughing is often accompanied by a “whooping”
sound. The cough may last for 1-2 months or longer. Pertussis can also cause inner ear infections,
long lasting bronchitis, pneumonia, fits, brain damage and death. The risk of severe complications
and death is greatest in infants under 6 months of age.
Vaccination is the best way of protecting against these diseases. BOOSTRIX vaccine cannot give
you or your child diphtheria, tetanus or pertussis infection. The vaccine will not protect against
diseases caused by other types of bacteria or organisms.","Pain and swelling around the injection site may prevent normal everyday activities for 24–48 hours
Headache or nausea
Muscle or joint stiffness or pain","Hives
Sterile abscess at the injection site
As with any medicine, very rarely a severe allergic reaction (anaphylaxis) can occur following immunisation.",https://www.immune.org.nz/vaccines/available-vaccines/boostrix,,,,
CVX,20,,,DTaP,,,1 to 99,6W,,,"Diphtheria, Tetanus & Acellular Pertussis","Protects against Diphtheria, Tetanus, Acellular Pertussis","BOOSTRIX is a vaccine used for booster vaccination against diphtheria, tetanus and pertussis
(whooping cough). The vaccine is sometimes called dTpa vaccine.
BOOSTRIX is intended for use in children aged 4 years and older and
adults.
Diphtheria, pertussis and tetanus are three life-threatening diseases caused by bacterial infection.
The vaccine works by causing the body to produce its own protection (antibodies) against the
disease.
Diphtheria
Diphtheria is a bacterium that lives in the airways of humans and can also affect the skin.
Generally, the airways become inflamed (swollen) causing severe breathing difficulties and
sometimes suffocation. The bacteria release a toxin (poison) which can cause nerve damage,
heart problems and death. The risk of serious complications and death is greater in the very young
and elderly.
Tetanus (Lockjaw)
Tetanus bacteria enter the body through wounded skin. Wounds that are especially prone to
infection are burn wounds, fractures, deep wounds or wounds contaminated with soil, dust, horse
manure or wood splinters. The bacteria release toxins, which can cause muscle stiffness, painful
spasms, fits and death. The spasm can be strong enough to cause bone fractures of the spine.
Pertussis (Whooping cough)
Pertussis is highly infectious. It affects the breathing tract causing severe spells of coughing
that may interfere with normal breathing. The coughing is often accompanied by a “whooping”
sound. The cough may last for 1-2 months or longer. Pertussis can also cause inner ear infections,
long lasting bronchitis, pneumonia, fits, brain damage and death. The risk of severe complications
and death is greatest in infants under 6 months of age.
Vaccination is the best way of protecting against these diseases. BOOSTRIX vaccine cannot give
you or your child diphtheria, tetanus or pertussis infection. The vaccine will not protect against
diseases caused by other types of bacteria or organisms.","Pain and swelling around the injection site may prevent normal everyday activities for 24–48 hours
Headache or nausea
Muscle or joint stiffness or pain","Hives
Sterile abscess at the injection site
As with any medicine, very rarely a severe allergic reaction (anaphylaxis) can occur following immunisation.",https://www.immune.org.nz/vaccines/available-vaccines/boostrix,,,,
CVX,20,,,DTaP,,,1 to 99,3M,,,"Diphtheria, Tetanus & Acellular Pertussis","Protects against Diphtheria, Tetanus, Acellular Pertussis","BOOSTRIX is a vaccine used for booster vaccination against diphtheria, tetanus and pertussis
(whooping cough). The vaccine is sometimes called dTpa vaccine.
BOOSTRIX is intended for use in children aged 4 years and older and
adults.
Diphtheria, pertussis and tetanus are three life-threatening diseases caused by bacterial infection.
The vaccine works by causing the body to produce its own protection (antibodies) against the
disease.
Diphtheria
Diphtheria is a bacterium that lives in the airways of humans and can also affect the skin.
Generally, the airways become inflamed (swollen) causing severe breathing difficulties and
sometimes suffocation. The bacteria release a toxin (poison) which can cause nerve damage,
heart problems and death. The risk of serious complications and death is greater in the very young
and elderly.
Tetanus (Lockjaw)
Tetanus bacteria enter the body through wounded skin. Wounds that are especially prone to
infection are burn wounds, fractures, deep wounds or wounds contaminated with soil, dust, horse
manure or wood splinters. The bacteria release toxins, which can cause muscle stiffness, painful
spasms, fits and death. The spasm can be strong enough to cause bone fractures of the spine.
Pertussis (Whooping cough)
Pertussis is highly infectious. It affects the breathing tract causing severe spells of coughing
that may interfere with normal breathing. The coughing is often accompanied by a “whooping”
sound. The cough may last for 1-2 months or longer. Pertussis can also cause inner ear infections,
long lasting bronchitis, pneumonia, fits, brain damage and death. The risk of severe complications
and death is greatest in infants under 6 months of age.
Vaccination is the best way of protecting against these diseases. BOOSTRIX vaccine cannot give
you or your child diphtheria, tetanus or pertussis infection. The vaccine will not protect against
diseases caused by other types of bacteria or organisms.","Pain and swelling around the injection site may prevent normal everyday activities for 24–48 hours
Headache or nausea
Muscle or joint stiffness or pain","Hives
Sterile abscess at the injection site
As with any medicine, very rarely a severe allergic reaction (anaphylaxis) can occur following immunisation.",https://www.immune.org.nz/vaccines/available-vaccines/boostrix,,,,
CVX,20,,,DTaP,,,1 to 99,5M,,,"Diphtheria, Tetanus & Acellular Pertussis","Protects against Diphtheria, Tetanus, Acellular Pertussis","BOOSTRIX is a vaccine used for booster vaccination against diphtheria, tetanus and pertussis
(whooping cough). The vaccine is sometimes called dTpa vaccine.
BOOSTRIX is intended for use in children aged 4 years and older and
adults.
Diphtheria, pertussis and tetanus are three life-threatening diseases caused by bacterial infection.
The vaccine works by causing the body to produce its own protection (antibodies) against the
disease.
Diphtheria
Diphtheria is a bacterium that lives in the airways of humans and can also affect the skin.
Generally, the airways become inflamed (swollen) causing severe breathing difficulties and
sometimes suffocation. The bacteria release a toxin (poison) which can cause nerve damage,
heart problems and death. The risk of serious complications and death is greater in the very young
and elderly.
Tetanus (Lockjaw)
Tetanus bacteria enter the body through wounded skin. Wounds that are especially prone to
infection are burn wounds, fractures, deep wounds or wounds contaminated with soil, dust, horse
manure or wood splinters. The bacteria release toxins, which can cause muscle stiffness, painful
spasms, fits and death. The spasm can be strong enough to cause bone fractures of the spine.
Pertussis (Whooping cough)
Pertussis is highly infectious. It affects the breathing tract causing severe spells of coughing
that may interfere with normal breathing. The coughing is often accompanied by a “whooping”
sound. The cough may last for 1-2 months or longer. Pertussis can also cause inner ear infections,
long lasting bronchitis, pneumonia, fits, brain damage and death. The risk of severe complications
and death is greatest in infants under 6 months of age.
Vaccination is the best way of protecting against these diseases. BOOSTRIX vaccine cannot give
you or your child diphtheria, tetanus or pertussis infection. The vaccine will not protect against
diseases caused by other types of bacteria or organisms.","Pain and swelling around the injection site may prevent normal everyday activities for 24–48 hours
Headache or nausea
Muscle or joint stiffness or pain","Hives
Sterile abscess at the injection site
As with any medicine, very rarely a severe allergic reaction (anaphylaxis) can occur following immunisation.",https://www.immune.org.nz/vaccines/available-vaccines/boostrix,,,,
CVX,20,,,DTaP,,,1 to 99,15M,,,"Diphtheria, Tetanus & Acellular Pertussis","Protects against Diphtheria, Tetanus, Acellular Pertussis","BOOSTRIX is a vaccine used for booster vaccination against diphtheria, tetanus and pertussis
(whooping cough). The vaccine is sometimes called dTpa vaccine.
BOOSTRIX is intended for use in children aged 4 years and older and
adults.
Diphtheria, pertussis and tetanus are three life-threatening diseases caused by bacterial infection.
The vaccine works by causing the body to produce its own protection (antibodies) against the
disease.
Diphtheria
Diphtheria is a bacterium that lives in the airways of humans and can also affect the skin.
Generally, the airways become inflamed (swollen) causing severe breathing difficulties and
sometimes suffocation. The bacteria release a toxin (poison) which can cause nerve damage,
heart problems and death. The risk of serious complications and death is greater in the very young
and elderly.
Tetanus (Lockjaw)
Tetanus bacteria enter the body through wounded skin. Wounds that are especially prone to
infection are burn wounds, fractures, deep wounds or wounds contaminated with soil, dust, horse
manure or wood splinters. The bacteria release toxins, which can cause muscle stiffness, painful
spasms, fits and death. The spasm can be strong enough to cause bone fractures of the spine.
Pertussis (Whooping cough)
Pertussis is highly infectious. It affects the breathing tract causing severe spells of coughing
that may interfere with normal breathing. The coughing is often accompanied by a “whooping”
sound. The cough may last for 1-2 months or longer. Pertussis can also cause inner ear infections,
long lasting bronchitis, pneumonia, fits, brain damage and death. The risk of severe complications
and death is greatest in infants under 6 months of age.
Vaccination is the best way of protecting against these diseases. BOOSTRIX vaccine cannot give
you or your child diphtheria, tetanus or pertussis infection. The vaccine will not protect against
diseases caused by other types of bacteria or organisms.","Pain and swelling around the injection site may prevent normal everyday activities for 24–48 hours
Headache or nausea
Muscle or joint stiffness or pain","Hives
Sterile abscess at the injection site
As with any medicine, very rarely a severe allergic reaction (anaphylaxis) can occur following immunisation.",https://www.immune.org.nz/vaccines/available-vaccines/boostrix,,,,
CVX,20,,,DTaP,,,1 to 99,4Y,,,"Diphtheria, Tetanus & Acellular Pertussis","Protects against Diphtheria, Tetanus, Acellular Pertussis","BOOSTRIX is a vaccine used for booster vaccination against diphtheria, tetanus and pertussis
(whooping cough). The vaccine is sometimes called dTpa vaccine.
BOOSTRIX is intended for use in children aged 4 years and older and
adults.
Diphtheria, pertussis and tetanus are three life-threatening diseases caused by bacterial infection.
The vaccine works by causing the body to produce its own protection (antibodies) against the
disease.
Diphtheria
Diphtheria is a bacterium that lives in the airways of humans and can also affect the skin.
Generally, the airways become inflamed (swollen) causing severe breathing difficulties and
sometimes suffocation. The bacteria release a toxin (poison) which can cause nerve damage,
heart problems and death. The risk of serious complications and death is greater in the very young
and elderly.
Tetanus (Lockjaw)
Tetanus bacteria enter the body through wounded skin. Wounds that are especially prone to
infection are burn wounds, fractures, deep wounds or wounds contaminated with soil, dust, horse
manure or wood splinters. The bacteria release toxins, which can cause muscle stiffness, painful
spasms, fits and death. The spasm can be strong enough to cause bone fractures of the spine.
Pertussis (Whooping cough)
Pertussis is highly infectious. It affects the breathing tract causing severe spells of coughing
that may interfere with normal breathing. The coughing is often accompanied by a “whooping”
sound. The cough may last for 1-2 months or longer. Pertussis can also cause inner ear infections,
long lasting bronchitis, pneumonia, fits, brain damage and death. The risk of severe complications
and death is greatest in infants under 6 months of age.
Vaccination is the best way of protecting against these diseases. BOOSTRIX vaccine cannot give
you or your child diphtheria, tetanus or pertussis infection. The vaccine will not protect against
diseases caused by other types of bacteria or organisms.","Pain and swelling around the injection site may prevent normal everyday activities for 24–48 hours
Headache or nausea
Muscle or joint stiffness or pain","Hives
Sterile abscess at the injection site
As with any medicine, very rarely a severe allergic reaction (anaphylaxis) can occur following immunisation.",https://www.immune.org.nz/vaccines/available-vaccines/boostrix,,,,
